strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected,workplace_measure
2,1,5,1,14,0.2,Social distancing
2,1,5,2,14,,Social distancing
2,1,5,3,14,,Social distancing
2,1,10,1,14,0.2,Social distancing
2,1,10,2,14,,Social distancing
2,1,10,3,14,,Social distancing
2,1,20,1,14,0.3,Social distancing
2,1,20,2,14,,Social distancing
2,1,20,3,14,,Social distancing
2,1,30,1,14,0.4,Social distancing
2,1,30,2,14,,Social distancing
2,1,30,3,14,,Social distancing
2,3,5,1,14,0.2,Social distancing
2,3,5,2,14,,Social distancing
2,3,5,3,14,,Social distancing
2,3,10,1,14,0.23,Social distancing
2,3,10,2,14,,Social distancing
2,3,10,3,14,,Social distancing
2,3,20,1,14,0.35,Social distancing
2,3,20,2,14,,Social distancing
2,3,20,3,14,,Social distancing
2,3,30,1,14,0.45,Social distancing
2,3,30,2,14,,Social distancing
2,3,30,3,14,,Social distancing
2,7,5,1,14,0.2,Social distancing
2,7,5,2,14,,Social distancing
2,7,5,3,14,,Social distancing
2,7,10,1,14,0.2,Social distancing
2,7,10,2,14,,Social distancing
2,7,10,3,14,,Social distancing
2,7,20,1,14,0.29,Social distancing
2,7,20,2,14,,Social distancing
2,7,20,3,14,,Social distancing
2,7,30,1,14,0.4,Social distancing
2,7,30,2,14,,Social distancing
2,7,30,3,14,,Social distancing
2,14,5,1,14,0.3,Social distancing
2,14,5,2,14,,Social distancing
2,14,5,3,14,,Social distancing
2,14,10,1,14,0.4,Social distancing
2,14,10,2,14,,Social distancing
2,14,10,3,14,,Social distancing
2,14,20,1,14,0.5,Social distancing
2,14,20,2,14,,Social distancing
2,14,20,3,14,,Social distancing
2,14,30,1,14,0.5,Social distancing
2,14,30,2,14,,Social distancing
2,14,30,3,14,,Social distancing
2,21,5,1,14,0.3,Social distancing
2,21,5,2,14,,Social distancing
2,21,5,3,14,,Social distancing
2,21,10,1,14,0.4,Social distancing
2,21,10,2,14,,Social distancing
2,21,10,3,14,,Social distancing
2,21,20,1,14,0.5,Social distancing
2,21,20,2,14,,Social distancing
2,21,20,3,14,,Social distancing
2,21,30,1,14,0.5,Social distancing
2,21,30,2,14,,Social distancing
2,21,30,3,14,,Social distancing
4,1,5,1,14,0.05,Social distancing
4,1,5,2,14,0.05,Social distancing
4,1,5,3,14,0.05,Social distancing
4,1,10,1,14,0.05,Social distancing
4,1,10,2,14,0.06,Social distancing
4,1,10,3,14,0.07,Social distancing
4,1,20,1,14,0.07,Social distancing
4,1,20,2,14,0.09,Social distancing
4,1,20,3,14,0.11,Social distancing
4,1,30,1,14,0.1,Social distancing
4,1,30,2,14,0.12,Social distancing
4,1,30,3,14,0.18,Social distancing
4,3,5,1,14,0.05,Social distancing
4,3,5,2,14,0.1,Social distancing
4,3,5,3,14,0.1,Social distancing
4,3,10,1,14,0.07,Social distancing
4,3,10,2,14,0.07,Social distancing
4,3,10,3,14,0.1,Social distancing
4,3,20,1,14,0.12,Social distancing
4,3,20,2,14,0.12,Social distancing
4,3,20,3,14,0.16,Social distancing
4,3,30,1,14,0.18,Social distancing
4,3,30,2,14,0.22,Social distancing
4,3,30,3,14,0.27,Social distancing
4,7,5,1,14,0.1,Social distancing
4,7,5,2,14,0.1,Social distancing
4,7,5,3,14,0.1,Social distancing
4,7,10,1,14,0.1,Social distancing
4,7,10,2,14,0.1,Social distancing
4,7,10,3,14,0.09,Social distancing
4,7,20,1,14,0.15,Social distancing
4,7,20,2,14,0.14,Social distancing
4,7,20,3,14,0.15,Social distancing
4,7,30,1,14,0.2,Social distancing
4,7,30,2,14,0.21,Social distancing
4,7,30,3,14,0.2,Social distancing
4,14,5,1,14,0.15,Social distancing
4,14,5,2,14,0.15,Social distancing
4,14,5,3,14,0.2,Social distancing
4,14,10,1,14,0.2,Social distancing
4,14,10,2,14,0.23,Social distancing
4,14,10,3,14,0.23,Social distancing
4,14,20,1,14,0.25,Social distancing
4,14,20,2,14,0.25,Social distancing
4,14,20,3,14,0.25,Social distancing
4,14,30,1,14,0.25,Social distancing
4,14,30,2,14,0.25,Social distancing
4,14,30,3,14,0.25,Social distancing
4,21,5,1,14,0.15,Social distancing
4,21,5,2,14,0.15,Social distancing
4,21,5,3,14,0.15,Social distancing
4,21,10,1,14,0.23,Social distancing
4,21,10,2,14,0.23,Social distancing
4,21,10,3,14,0.2,Social distancing
4,21,20,1,14,0.25,Social distancing
4,21,20,2,14,0.25,Social distancing
4,21,20,3,14,0.25,Social distancing
4,21,30,1,14,0.25,Social distancing
4,21,30,2,14,0.25,Social distancing
4,21,30,3,14,0.25,Social distancing
6,1,5,1,14,0.03,Social distancing
6,1,5,2,14,0.03,Social distancing
6,1,5,3,14,0.03,Social distancing
6,1,10,1,14,0.03,Social distancing
6,1,10,2,14,0.03,Social distancing
6,1,10,3,14,0.03,Social distancing
6,1,20,1,14,0.03,Social distancing
6,1,20,2,14,0.03,Social distancing
6,1,20,3,14,0.04,Social distancing
6,1,30,1,14,0.04,Social distancing
6,1,30,2,14,0.04,Social distancing
6,1,30,3,14,0.06,Social distancing
6,3,5,1,14,0.03,Social distancing
6,3,5,2,14,0.03,Social distancing
6,3,5,3,14,0.03,Social distancing
6,3,10,1,14,0.03,Social distancing
6,3,10,2,14,0.03,Social distancing
6,3,10,3,14,0.05,Social distancing
6,3,20,1,14,0.06,Social distancing
6,3,20,2,14,0.05,Social distancing
6,3,20,3,14,0.07,Social distancing
6,3,30,1,14,0.09,Social distancing
6,3,30,2,14,0.09,Social distancing
6,3,30,3,14,0.11,Social distancing
6,7,5,1,14,0.07,Social distancing
6,7,5,2,14,0.07,Social distancing
6,7,5,3,14,0.07,Social distancing
6,7,10,1,14,0.07,Social distancing
6,7,10,2,14,0.07,Social distancing
6,7,10,3,14,0.07,Social distancing
6,7,20,1,14,0.09,Social distancing
6,7,20,2,14,0.09,Social distancing
6,7,20,3,14,0.09,Social distancing
6,7,30,1,14,0.14,Social distancing
6,7,30,2,14,0.14,Social distancing
6,7,30,3,14,0.13,Social distancing
6,14,5,1,14,0.1,Social distancing
6,14,5,2,14,0.1,Social distancing
6,14,5,3,14,0.12,Social distancing
6,14,10,1,14,0.13,Social distancing
6,14,10,2,14,0.14,Social distancing
6,14,10,3,14,0.15,Social distancing
6,14,20,1,14,0.17,Social distancing
6,14,20,2,14,0.17,Social distancing
6,14,20,3,14,0.17,Social distancing
6,14,30,1,14,0.17,Social distancing
6,14,30,2,14,0.17,Social distancing
6,14,30,3,14,0.17,Social distancing
6,21,5,1,14,0.1,Social distancing
6,21,5,2,14,0.1,Social distancing
6,21,5,3,14,0.1,Social distancing
6,21,10,1,14,0.15,Social distancing
6,21,10,2,14,0.15,Social distancing
6,21,10,3,14,0.13,Social distancing
6,21,20,1,14,0.17,Social distancing
6,21,20,2,14,0.17,Social distancing
6,21,20,3,14,0.17,Social distancing
6,21,30,1,14,0.17,Social distancing
6,21,30,2,14,0.17,Social distancing
6,21,30,3,14,0.17,Social distancing
2,1,5,1,14,0.2,Gloves
2,1,5,2,14,,Gloves
2,1,5,3,14,,Gloves
2,1,10,1,14,0.2,Gloves
2,1,10,2,14,,Gloves
2,1,10,3,14,,Gloves
2,1,20,1,14,0.28,Gloves
2,1,20,2,14,,Gloves
2,1,20,3,14,,Gloves
2,1,30,1,14,0.37,Gloves
2,1,30,2,14,,Gloves
2,1,30,3,14,,Gloves
2,3,5,1,14,0.2,Gloves
2,3,5,2,14,,Gloves
2,3,5,3,14,,Gloves
2,3,10,1,14,0.2,Gloves
2,3,10,2,14,,Gloves
2,3,10,3,14,,Gloves
2,3,20,1,14,0.33,Gloves
2,3,20,2,14,,Gloves
2,3,20,3,14,,Gloves
2,3,30,1,14,0.42,Gloves
2,3,30,2,14,,Gloves
2,3,30,3,14,,Gloves
2,7,5,1,14,0.2,Gloves
2,7,5,2,14,,Gloves
2,7,5,3,14,,Gloves
2,7,10,1,14,0.2,Gloves
2,7,10,2,14,,Gloves
2,7,10,3,14,,Gloves
2,7,20,1,14,0.28,Gloves
2,7,20,2,14,,Gloves
2,7,20,3,14,,Gloves
2,7,30,1,14,0.37,Gloves
2,7,30,2,14,,Gloves
2,7,30,3,14,,Gloves
2,14,5,1,14,0.3,Gloves
2,14,5,2,14,,Gloves
2,14,5,3,14,,Gloves
2,14,10,1,14,0.4,Gloves
2,14,10,2,14,,Gloves
2,14,10,3,14,,Gloves
2,14,20,1,14,0.5,Gloves
2,14,20,2,14,,Gloves
2,14,20,3,14,,Gloves
2,14,30,1,14,0.5,Gloves
2,14,30,2,14,,Gloves
2,14,30,3,14,,Gloves
2,21,5,1,14,0.3,Gloves
2,21,5,2,14,,Gloves
2,21,5,3,14,,Gloves
2,21,10,1,14,0.4,Gloves
2,21,10,2,14,,Gloves
2,21,10,3,14,,Gloves
2,21,20,1,14,0.5,Gloves
2,21,20,2,14,,Gloves
2,21,20,3,14,,Gloves
2,21,30,1,14,0.5,Gloves
2,21,30,2,14,,Gloves
2,21,30,3,14,,Gloves
4,1,5,1,14,0.05,Gloves
4,1,5,2,14,0.05,Gloves
4,1,5,3,14,0.05,Gloves
4,1,10,1,14,0.05,Gloves
4,1,10,2,14,0.05,Gloves
4,1,10,3,14,0.07,Gloves
4,1,20,1,14,0.06,Gloves
4,1,20,2,14,0.07,Gloves
4,1,20,3,14,0.09,Gloves
4,1,30,1,14,0.08,Gloves
4,1,30,2,14,0.1,Gloves
4,1,30,3,14,0.13,Gloves
4,3,5,1,14,0.05,Gloves
4,3,5,2,14,0.08,Gloves
4,3,5,3,14,0.1,Gloves
4,3,10,1,14,0.07,Gloves
4,3,10,2,14,0.07,Gloves
4,3,10,3,14,0.07,Gloves
4,3,20,1,14,0.1,Gloves
4,3,20,2,14,0.11,Gloves
4,3,20,3,14,0.12,Gloves
4,3,30,1,14,0.16,Gloves
4,3,30,2,14,0.18,Gloves
4,3,30,3,14,0.22,Gloves
4,7,5,1,14,0.1,Gloves
4,7,5,2,14,0.1,Gloves
4,7,5,3,14,0.1,Gloves
4,7,10,1,14,0.1,Gloves
4,7,10,2,14,0.1,Gloves
4,7,10,3,14,0.07,Gloves
4,7,20,1,14,0.14,Gloves
4,7,20,2,14,0.14,Gloves
4,7,20,3,14,0.13,Gloves
4,7,30,1,14,0.18,Gloves
4,7,30,2,14,0.18,Gloves
4,7,30,3,14,0.18,Gloves
4,14,5,1,14,0.15,Gloves
4,14,5,2,14,0.15,Gloves
4,14,5,3,14,0.15,Gloves
4,14,10,1,14,0.2,Gloves
4,14,10,2,14,0.2,Gloves
4,14,10,3,14,0.2,Gloves
4,14,20,1,14,0.25,Gloves
4,14,20,2,14,0.25,Gloves
4,14,20,3,14,0.25,Gloves
4,14,30,1,14,0.25,Gloves
4,14,30,2,14,0.25,Gloves
4,14,30,3,14,0.25,Gloves
4,21,5,1,14,0.15,Gloves
4,21,5,2,14,0.15,Gloves
4,21,5,3,14,0.15,Gloves
4,21,10,1,14,0.2,Gloves
4,21,10,2,14,0.2,Gloves
4,21,10,3,14,0.2,Gloves
4,21,20,1,14,0.25,Gloves
4,21,20,2,14,0.25,Gloves
4,21,20,3,14,0.25,Gloves
4,21,30,1,14,0.25,Gloves
4,21,30,2,14,0.25,Gloves
4,21,30,3,14,0.25,Gloves
6,1,5,1,14,0.03,Gloves
6,1,5,2,14,0.03,Gloves
6,1,5,3,14,0.03,Gloves
6,1,10,1,14,0.03,Gloves
6,1,10,2,14,0.03,Gloves
6,1,10,3,14,0.03,Gloves
6,1,20,1,14,0.03,Gloves
6,1,20,2,14,0.03,Gloves
6,1,20,3,14,0.03,Gloves
6,1,30,1,14,0.03,Gloves
6,1,30,2,14,0.03,Gloves
6,1,30,3,14,0.04,Gloves
6,3,5,1,14,0.03,Gloves
6,3,5,2,14,0.03,Gloves
6,3,5,3,14,0.03,Gloves
6,3,10,1,14,0.03,Gloves
6,3,10,2,14,0.03,Gloves
6,3,10,3,14,0.05,Gloves
6,3,20,1,14,0.05,Gloves
6,3,20,2,14,0.04,Gloves
6,3,20,3,14,0.06,Gloves
6,3,30,1,14,0.07,Gloves
6,3,30,2,14,0.07,Gloves
6,3,30,3,14,0.09,Gloves
6,7,5,1,14,0.07,Gloves
6,7,5,2,14,0.07,Gloves
6,7,5,3,14,0.07,Gloves
6,7,10,1,14,0.05,Gloves
6,7,10,2,14,0.07,Gloves
6,7,10,3,14,0.07,Gloves
6,7,20,1,14,0.08,Gloves
6,7,20,2,14,0.08,Gloves
6,7,20,3,14,0.09,Gloves
6,7,30,1,14,0.13,Gloves
6,7,30,2,14,0.12,Gloves
6,7,30,3,14,0.12,Gloves
6,14,5,1,14,0.1,Gloves
6,14,5,2,14,0.1,Gloves
6,14,5,3,14,0.1,Gloves
6,14,10,1,14,0.13,Gloves
6,14,10,2,14,0.13,Gloves
6,14,10,3,14,0.13,Gloves
6,14,20,1,14,0.17,Gloves
6,14,20,2,14,0.16,Gloves
6,14,20,3,14,0.17,Gloves
6,14,30,1,14,0.17,Gloves
6,14,30,2,14,0.17,Gloves
6,14,30,3,14,0.17,Gloves
6,21,5,1,14,0.1,Gloves
6,21,5,2,14,0.1,Gloves
6,21,5,3,14,0.1,Gloves
6,21,10,1,14,0.13,Gloves
6,21,10,2,14,0.13,Gloves
6,21,10,3,14,0.13,Gloves
6,21,20,1,14,0.17,Gloves
6,21,20,2,14,0.17,Gloves
6,21,20,3,14,0.17,Gloves
6,21,30,1,14,0.17,Gloves
6,21,30,2,14,0.17,Gloves
6,21,30,3,14,0.17,Gloves
2,1,5,1,14,0.1,Surgical mask
2,1,5,2,14,,Surgical mask
2,1,5,3,14,,Surgical mask
2,1,10,1,14,0.1,Surgical mask
2,1,10,2,14,,Surgical mask
2,1,10,3,14,,Surgical mask
2,1,20,1,14,0.15,Surgical mask
2,1,20,2,14,,Surgical mask
2,1,20,3,14,,Surgical mask
2,1,30,1,14,0.22,Surgical mask
2,1,30,2,14,,Surgical mask
2,1,30,3,14,,Surgical mask
2,3,5,1,14,0.1,Surgical mask
2,3,5,2,14,,Surgical mask
2,3,5,3,14,,Surgical mask
2,3,10,1,14,0.15,Surgical mask
2,3,10,2,14,,Surgical mask
2,3,10,3,14,,Surgical mask
2,3,20,1,14,0.2,Surgical mask
2,3,20,2,14,,Surgical mask
2,3,20,3,14,,Surgical mask
2,3,30,1,14,0.28,Surgical mask
2,3,30,2,14,,Surgical mask
2,3,30,3,14,,Surgical mask
2,7,5,1,14,0.1,Surgical mask
2,7,5,2,14,,Surgical mask
2,7,5,3,14,,Surgical mask
2,7,10,1,14,0.1,Surgical mask
2,7,10,2,14,,Surgical mask
2,7,10,3,14,,Surgical mask
2,7,20,1,14,0.15,Surgical mask
2,7,20,2,14,,Surgical mask
2,7,20,3,14,,Surgical mask
2,7,30,1,14,0.23,Surgical mask
2,7,30,2,14,,Surgical mask
2,7,30,3,14,,Surgical mask
2,14,5,1,14,0.2,Surgical mask
2,14,5,2,14,,Surgical mask
2,14,5,3,14,,Surgical mask
2,14,10,1,14,0.3,Surgical mask
2,14,10,2,14,,Surgical mask
2,14,10,3,14,,Surgical mask
2,14,20,1,14,0.42,Surgical mask
2,14,20,2,14,,Surgical mask
2,14,20,3,14,,Surgical mask
2,14,30,1,14,0.48,Surgical mask
2,14,30,2,14,,Surgical mask
2,14,30,3,14,,Surgical mask
2,21,5,1,14,0.2,Surgical mask
2,21,5,2,14,,Surgical mask
2,21,5,3,14,,Surgical mask
2,21,10,1,14,0.3,Surgical mask
2,21,10,2,14,,Surgical mask
2,21,10,3,14,,Surgical mask
2,21,20,1,14,0.42,Surgical mask
2,21,20,2,14,,Surgical mask
2,21,20,3,14,,Surgical mask
2,21,30,1,14,0.48,Surgical mask
2,21,30,2,14,,Surgical mask
